state,name,1990,2000,2010,2020
AL,Alabama,4040389,4447207,4779736,5024279
AK,Alaska,550043,626933,710231,733391
AZ,Arizona,3665339,5130247,6392017,7151502
AR,Arkansas,2350624,2673293,2915918,3011524
CA,California,29811427,33871653,37253956,39538223
CO,Colorado,3294473,4302086,5029196,5773714
CT,Connecticut,3287116,3405650,3574097,3605944
DE,Delaware,666168,783559,897934,989948
DC,District of Columbia,606900,572086,601723,689545
FL,Florida,12938071,15982571,18801310,21538187
GA,Georgia,6478149,8186653,9687653,10711908
HI,Hawaii,1108229,1211497,1360301,1455271
ID,Idaho,1006734,1293957,1567582,1839106
IL,Illinois,11430602,12419927,12830632,12812508
IN,Indiana,5544156,6080827,6483802,6785528
IA,Iowa,2776831,2926538,3046355,3190369
KS,Kansas,2477588,2688925,2853118,2937880
KY,Kentucky,3686892,4042193,4339367,4505836
LA,Louisiana,4221826,4469035,4533372,4657757
ME,Maine,1227928,1274779,1328361,1362359
MD,Maryland,4780753,5296647,5773552,6177224
MA,Massachusetts,6016425,6349364,6547629,7029917
MI,Michigan,9295287,9938823,9883640,10077331
MN,Minnesota,4375665,4919631,5303925,5706494
MS,Mississippi,2575475,2844754,2967297,2961279
MO,Missouri,5116901,5596564,5988927,6154913
MT,Montana,799065,902200,989415,1084225
NE,Nebraska,1578417,1711230,1826341,1961504
NV,Nevada,1201675,1998250,2700551,3104614
NH,New Hampshire,1109252,1235807,1316470,1377529
NJ,New Jersey,7747750,8414764,8791894,9288994
NM,New Mexico,1515069,1819017,2059179,2117522
NY,New York,17990778,18977026,19378102,20201249
NC,North Carolina,6632448,8046346,9535483,10439388
ND,North Dakota,638800,642237,672591,779094
OH,Ohio,10847115,11353336,11536504,11799448
OK,Oklahoma,3145576,3450451,3751351,3959353
OR,Oregon,2842337,3421524,3831074,4237256
PA,Pennsylvania,11882842,12280548,12702379,13002700
RI,Rhode Island,1003464,1048259,1052567,1097379
SC,South Carolina,3486310,4012023,4625364,5118425
SD,South Dakota,696004,754858,814180,886667
TN,Tennessee,4877203,5689427,6346105,6910840
TX,Texas,16986335,20851028,25145561,29145505
UT,Utah,1722850,2233183,2763885,3271616
VT,Vermont,562758,608613,625741,643077
VA,Virginia,6189197,7079057,8001024,8631393
WA,Washington,4866669,5894281,6724540,7705281
WV,West Virginia,1793477,1808193,1852994,1793716
WI,Wisconsin,4891954,5363757,5686986,5893718
WY,Wyoming,453589,493786,563626,576851
